species,year,source,SumOftotal
BCAC,1991,COM,2879
BCAC,1992,COM,3104
BCAC,1993,COM,1856
BCAC,1994,COM,1024
BCAC,1995,COM,651
BCAC,1996,COM,831
BCAC,1997,COM,761
BCAC,1998,COM,631
BCAC,1999,COM,448
BCAC,2000,COM,135
BCAC,2001,COM,331
BCAC,2002,COM,219
BCAC,2003,COM,2
BCAC,2004,COM,122
BCAC,2005,COM,17
BCAC,2006,COM,16
BCAC,2007,COM,29
BCAC,2008,COM,17
BCAC,2009,COM,14
BCAC,2010,COM,16
BCAC,2011,COM,15
BCAC,2012,COM,75
BCAC,2013,COM,18
BCAC,2014,COM,28
BCAC,2015,COM,225
BCAC,2016,COM,156
BCAC,2017,COM,124
BLCK,1977,COM,115
BLCK,1978,COM,75
BLCK,1980,COM,71
BLCK,1981,COM,130
BLCK,1982,COM,261
BLCK,1983,COM,288
BLCK,1984,COM,226
BLCK,1985,COM,172
BLCK,2001,COM,32
BLCK,2002,COM,13
BLCK,2003,COM,19
BLCK,2004,COM,9
BLCK,2005,COM,1
BLCK,2007,COM,28
BLCK,2009,COM,97
BLCK,2011,COM,44
BLCK,2012,COM,44
BLCK,2013,COM,1
BLCK,2015,COM,12
BLCK,2016,COM,9
BLCK,2018,COM,39
BLCK,2019,COM,320
BLGL,1977,COM,79
BLGL,1978,COM,2
BLGL,1979,COM,6
BLGL,1980,COM,30
BLGL,1981,COM,33
BLGL,1982,COM,39
BLGL,1983,COM,227
BLGL,1984,COM,325
BLGL,1985,COM,1613
BLGL,1986,COM,309
BLGL,1987,COM,9
BLGL,1988,COM,42
BLGL,1992,COM,108
BLGL,1995,COM,23
BLGL,1998,COM,10
BLGL,1999,COM,11
BLGL,2001,COM,92
BLGL,2002,COM,225
BLGL,2003,COM,390
BLGL,2004,COM,84
BLGL,2005,COM,324
BLGL,2006,COM,357
BLGL,2007,COM,193
BLGL,2008,COM,242
BLGL,2009,COM,306
BLGL,2010,COM,175
BLGL,2011,COM,242
BLGL,2012,COM,323
BLGL,2013,COM,203
BLGL,2014,COM,154
BLGL,2015,COM,178
BLGL,2016,COM,93
BLGL,2017,COM,100
BLGL,2019,COM,83
BLUR,1977,COM,49
BLUR,1984,COM,150
BLUR,1986,COM,19
BLUR,2002,COM,3
BLUR,2005,COM,32
BLUR,2007,COM,27
BLUR,2009,COM,2
BLUR,2011,COM,59
BLUR,2012,COM,25
BLUR,2015,COM,1
BLUR,2016,COM,1
BLUR,2019,COM,523
BRNZ,1983,COM,1
BRNZ,1984,COM,1
BRNZ,1985,COM,26
BRNZ,1986,COM,16
BRNZ,2015,COM,1
BRNZ,2016,COM,2
BRWN,1977,COM,114
BRWN,1980,COM,25
BRWN,1981,COM,1
BRWN,1983,COM,7
BRWN,1984,COM,2
BRWN,1985,COM,34
BRWN,2001,COM,23
BRWN,2002,COM,47
BRWN,2004,COM,4
BRWN,2007,COM,19
BRWN,2008,COM,1
BRWN,2009,COM,16
BRWN,2014,COM,7
BRWN,2019,COM,355
BRWN,2021,COM,5
BSPR,2011,COM,14
BSPR,2012,COM,8
BSPR,2013,COM,7
BSPR,2014,COM,4
BSPR,2015,COM,4
BSPR,2016,COM,26
BSPR,2017,COM,3
BSPR,2018,COM,5
BYEL,1984,COM,1
BYEL,1985,COM,1
BYEL,2021,COM,6
CBZN,2006,COM,1
CBZN,2019,COM,24
CHLB,1992,COM,11
CHNA,2009,COM,1
CHNA,2010,COM,1
CHNA,2017,COM,1
CHNA,2021,COM,1
CLPR,1977,COM,2109
CLPR,1978,COM,898
CLPR,1979,COM,570
CLPR,1980,COM,1163
CLPR,1981,COM,759
CLPR,1982,COM,1366
CLPR,1983,COM,2257
CLPR,1984,COM,4378
CLPR,1985,COM,8465
CLPR,1986,COM,4981
CLPR,1987,COM,5035
CLPR,1988,COM,4953
CLPR,1989,COM,5375
CLPR,1990,COM,5804
CLPR,1991,COM,9875
CLPR,1992,COM,6242
CLPR,1993,COM,6304
CLPR,1994,COM,3220
CLPR,1995,COM,3239
CLPR,1996,COM,6
CLPR,1997,COM,2560
CLPR,1998,COM,2676
CLPR,1999,COM,2262
CLPR,2000,COM,1173
CLPR,2001,COM,896
CLPR,2002,COM,1333
CLPR,2003,COM,314
CLPR,2004,COM,1022
CLPR,2005,COM,351
CLPR,2006,COM,485
CLPR,2007,COM,417
CLPR,2008,COM,477
CLPR,2009,COM,716
CLPR,2010,COM,291
CLPR,2011,COM,1
CLPR,2012,COM,349
CLPR,2013,COM,408
CLPR,2014,COM,374
CLPR,2015,COM,244
CLPR,2016,COM,146
CLPR,2017,COM,46
CLPR,2018,COM,60
CMEL,1985,COM,50
CMEL,1986,COM,2
CNRY,1977,COM,732
CNRY,1978,COM,451
CNRY,1979,COM,67
CNRY,1980,COM,332
CNRY,1981,COM,202
CNRY,1982,COM,420
CNRY,1983,COM,498
CNRY,1984,COM,376
CNRY,1985,COM,567
CNRY,1986,COM,28
CNRY,1990,COM,7
CNRY,2001,COM,31
CNRY,2002,COM,105
CNRY,2003,COM,44
CNRY,2004,COM,12
CNRY,2005,COM,54
CNRY,2006,COM,55
CNRY,2007,COM,40
CNRY,2008,COM,2
CNRY,2009,COM,41
CNRY,2010,COM,10
CNRY,2013,COM,156
CNRY,2014,COM,78
CNRY,2015,COM,176
CNRY,2016,COM,41
CNRY,2017,COM,144
CNRY,2018,COM,46
CNRY,2019,COM,149
COPP,1980,COM,14
COPP,1982,COM,7
COPP,1983,COM,12
COPP,1984,COM,28
COPP,1985,COM,23
COPP,1986,COM,2
COPP,1987,COM,1
COPP,2003,COM,1
COPP,2004,COM,6
COPP,2007,COM,5
COPP,2012,COM,1
COPP,2014,COM,1
COPP,2021,COM,2
CSOL,2003,COM,3
CSOL,2008,COM,1
CSOL,2015,COM,1
CSOL,2017,COM,11
CWCD,1983,COM,2
CWCD,1984,COM,4
CWCD,1990,COM,1
CWCD,1991,COM,7
CWCD,1998,COM,1
CWCD,2001,COM,5
CWCD,2002,COM,9
CWCD,2003,COM,4
CWCD,2004,COM,28
CWCD,2005,COM,2
CWCD,2007,COM,1
CWCD,2008,COM,2
CWCD,2012,COM,8
CWCD,2013,COM,34
CWCD,2014,COM,24
CWCD,2015,COM,56
CWCD,2016,COM,60
CWCD,2017,COM,16
DBRK,1977,COM,909
DBRK,1978,COM,308
DBRK,1979,COM,24
DBRK,1980,COM,121
DBRK,1981,COM,197
DBRK,1982,COM,440
DBRK,1983,COM,765
DBRK,1984,COM,1798
DBRK,1985,COM,4185
DBRK,1986,COM,2373
DBRK,1987,COM,2225
DBRK,1988,COM,1673
DBRK,1989,COM,1082
DBRK,1990,COM,818
DBRK,1991,COM,287
DBRK,1992,COM,431
DBRK,1993,COM,473
DBRK,1994,COM,423
DBRK,1995,COM,559
DBRK,1996,COM,781
DBRK,1997,COM,810
DBRK,1998,COM,927
DBRK,1999,COM,500
DBRK,2000,COM,570
DBRK,2001,COM,479
DBRK,2002,COM,645
DBRK,2003,COM,293
DBRK,2004,COM,438
DBRK,2005,COM,494
DBRK,2006,COM,834
DBRK,2007,COM,556
DBRK,2008,COM,310
DBRK,2009,COM,452
DBRK,2010,COM,238
DBRK,2011,COM,330
DBRK,2012,COM,426
DBRK,2013,COM,176
DBRK,2014,COM,110
DBRK,2015,COM,149
DBRK,2016,COM,289
DBRK,2017,COM,108
DOVR,1974,COM,50
DOVR,1975,COM,753
DOVR,1977,COM,8
DOVR,1981,COM,800
DOVR,1982,COM,969
DOVR,1983,COM,1675
DOVR,1984,COM,1350
DOVR,1985,COM,2000
DOVR,1986,COM,1499
DOVR,1987,COM,1750
DOVR,1988,COM,875
DOVR,1989,COM,1525
DOVR,1990,COM,461
DOVR,1991,COM,872
DOVR,1992,COM,1174
DOVR,1993,COM,946
DOVR,1994,COM,1076
DOVR,1995,COM,1460
DOVR,1996,COM,871
DOVR,1997,COM,1376
DOVR,1998,COM,1244
DOVR,1999,COM,1228
DOVR,2007,COM,1042
DOVR,2008,COM,975
DOVR,2009,COM,917
DOVR,2010,COM,348
DOVR,2011,COM,349
DOVR,2012,COM,962
DOVR,2013,COM,772
DOVR,2014,COM,703
DOVR,2015,COM,732
DOVR,2016,COM,848
DOVR,2017,COM,339
DOVR,2018,COM,467
DSOL,1980,COM,3
DSOL,2006,COM,3
DSOL,2008,COM,2
DSOL,2011,COM,32
DSOL,2012,COM,4
DSOL,2016,COM,1
EGLS,1966,COM,2540
EGLS,1967,COM,2924
EGLS,1968,COM,3667
EGLS,1970,COM,2248
EGLS,1972,COM,1189
EGLS,1973,COM,1299
EGLS,1974,COM,500
EGLS,1975,COM,644
EGLS,1976,COM,625
EGLS,1977,COM,2711
EGLS,1978,COM,1802
EGLS,1979,COM,900
EGLS,1980,COM,3365
EGLS,1981,COM,2160
EGLS,1982,COM,1521
EGLS,1983,COM,921
EGLS,1984,COM,925
EGLS,1985,COM,1450
EGLS,1986,COM,775
EGLS,1987,COM,899
EGLS,1988,COM,125
EGLS,1989,COM,25
EGLS,2003,COM,74
EGLS,2004,COM,56
EGLS,2005,COM,280
EGLS,2006,COM,60
EGLS,2008,COM,187
EGLS,2009,COM,71
EGLS,2010,COM,20
EGLS,2011,COM,72
EGLS,2012,COM,32
EGLS,2013,COM,149
EGLS,2014,COM,142
EGLS,2015,COM,293
EGLS,2016,COM,134
EGLS,2017,COM,60
FLAG,1980,COM,1
FLAG,1981,COM,1
FLAG,1983,COM,9
FLAG,1984,COM,8
FLAG,1985,COM,9
FLAG,1986,COM,3
FLAG,2003,COM,1
FLAG,2004,COM,3
FLAG,2008,COM,7
FLAG,2016,COM,2
GBLC,1980,COM,1
GBLC,1984,COM,266
GBLC,1985,COM,10
GBLC,1986,COM,8
GBLC,1987,COM,3
GBLC,2002,COM,4
GBLC,2003,COM,3
GBLC,2004,COM,7
GBLC,2006,COM,1
GBLC,2007,COM,1
GBLC,2008,COM,1
GBLC,2009,COM,6
GBLC,2010,COM,2
GBLC,2012,COM,1
GBLC,2014,COM,1
GBLC,2015,COM,6
GBLC,2016,COM,60
GBLC,2017,COM,7
GPHR,2009,COM,8
GPHR,2010,COM,15
GPHR,2011,COM,3
GPHR,2016,COM,2
GPHR,2018,COM,27
GPHR,2019,COM,5
GPHR,2021,COM,24
GRAS,1984,COM,1
GRAS,2019,COM,7
GRAS,2010,COM,1
GSPT,1977,COM,26
GSPT,1978,COM,35
GSPT,1979,COM,23
GSPT,1980,COM,95
GSPT,1981,COM,83
GSPT,1982,COM,103
GSPT,1983,COM,112
GSPT,1984,COM,138
GSPT,1985,COM,370
GSPT,1986,COM,43
GSPT,1987,COM,1
GSPT,1991,COM,1
GSPT,1996,COM,1
GSPT,2001,COM,55
GSPT,2002,COM,71
GSPT,2003,COM,47
GSPT,2004,COM,52
GSPT,2005,COM,1
GSPT,2006,COM,1
GSPT,2007,COM,4
GSPT,2009,COM,1
GSPT,2010,COM,1
GSPT,2012,COM,13
GSPT,2013,COM,4
GSPT,2014,COM,4
GSPT,2015,COM,25
GSPT,2016,COM,22
GSPT,2017,COM,22
GSRK,1977,COM,118
GSRK,1978,COM,87
GSRK,1979,COM,40
GSRK,1980,COM,42
GSRK,1981,COM,26
GSRK,1982,COM,58
GSRK,1983,COM,194
GSRK,1984,COM,161
GSRK,1985,COM,428
GSRK,1986,COM,58
GSRK,1987,COM,6
GSRK,1989,COM,2
GSRK,1990,COM,1
GSRK,1991,COM,2
GSRK,1999,COM,1
GSRK,2001,COM,110
GSRK,2002,COM,44
GSRK,2003,COM,9
GSRK,2004,COM,36
GSRK,2005,COM,36
GSRK,2006,COM,22
GSRK,2007,COM,4
GSRK,2009,COM,5
GSRK,2011,COM,1
GSRK,2013,COM,24
GSRK,2014,COM,7
GSRK,2015,COM,7
GSRK,2016,COM,25
GSRK,2017,COM,5
HBRK,2004,COM,12
HBRK,2016,COM,2
HTRB,2003,COM,1
KLPR,2017,COM,1
LSPN,1977,COM,237
LSPN,1978,COM,388
LSPN,1979,COM,278
LSPN,1980,COM,101
LSPN,1981,COM,20
LSPN,1982,COM,284
LSPN,1983,COM,294
LSPN,1984,COM,795
LSPN,1985,COM,1430
LSPN,1986,COM,122
LSPN,1990,COM,67
