Common_name,Year,sexed_fish,unsexed_fish,lengthed,aged_fish,unread_otoliths
gopher rockfish,2010,3,0,3,0,3
gopher rockfish,2011,0,1,1,0,1
gopher rockfish,2012,3,2,5,0,3
gopher rockfish,2013,1,1,2,0,2
gopher rockfish,2017,0,1,1,0,1
gopher rockfish,2018,1,0,1,0,1
greenspotted rockfish,2003,420,0,420,0,0
greenspotted rockfish,2004,553,9,562,0,278
greenspotted rockfish,2005,216,9,225,85,42
greenspotted rockfish,2006,459,4,463,0,261
greenspotted rockfish,2007,622,31,653,265,42
greenspotted rockfish,2008,512,45,557,0,244
greenspotted rockfish,2009,650,28,678,351,26
greenspotted rockfish,2010,670,41,711,0,395
greenspotted rockfish,2011,259,9,268,0,225
greenspotted rockfish,2012,393,8,401,0,235
greenspotted rockfish,2013,245,1,246,0,218
greenspotted rockfish,2014,290,6,296,0,221
greenspotted rockfish,2015,243,6,249,0,209
greenspotted rockfish,2016,883,16,899,0,464
greenspotted rockfish,2017,333,1,334,0,213
greenspotted rockfish,2018,377,21,398,0,322
greenspotted rockfish,2019,207,1,208,0,164
greenstriped rockfish,2003,3489,37,3526,577,33
greenstriped rockfish,2004,2654,13,2667,522,7
greenstriped rockfish,2005,3871,27,3898,568,131
greenstriped rockfish,2006,3116,16,3132,524,155
greenstriped rockfish,2007,2325,34,2359,657,5
greenstriped rockfish,2008,1805,60,1865,565,3
greenstriped rockfish,2009,1718,82,1800,0,614
greenstriped rockfish,2010,2156,166,2322,0,747
greenstriped rockfish,2011,1810,123,1933,0,646
greenstriped rockfish,2012,2099,117,2216,0,753
greenstriped rockfish,2013,1449,23,1472,0,494
greenstriped rockfish,2014,2259,15,2274,0,682
greenstriped rockfish,2015,1988,30,2018,0,693
greenstriped rockfish,2016,2302,17,2319,0,736
greenstriped rockfish,2017,1890,29,1919,0,646
greenstriped rockfish,2018,2395,83,2477,0,786
greenstriped rockfish,2019,1163,4,1167,0,382
honeycomb rockfish,2003,1,0,1,0,0
honeycomb rockfish,2005,14,0,14,0,14
honeycomb rockfish,2006,14,0,14,0,14
honeycomb rockfish,2007,68,0,68,0,31
honeycomb rockfish,2008,1,0,1,0,1
honeycomb rockfish,2009,90,0,90,0,15
honeycomb rockfish,2010,22,0,22,0,22
honeycomb rockfish,2012,6,0,6,0,6
honeycomb rockfish,2013,36,0,36,0,36
honeycomb rockfish,2014,1,0,1,0,1
honeycomb rockfish,2016,2,2,4,0,4
honeycomb rockfish,2017,4,0,4,0,4
honeycomb rockfish,2018,14,0,14,0,14
honeycomb rockfish,2019,14,0,14,0,14
kelp greenling,2003,61,0,61,0,0
kelp greenling,2004,97,0,97,0,0
kelp greenling,2005,42,0,42,0,41
kelp greenling,2006,23,0,23,0,23
kelp greenling,2007,39,0,39,0,39
kelp greenling,2008,19,0,19,0,19
kelp greenling,2009,27,0,27,0,27
kelp greenling,2010,46,0,46,0,46
kelp greenling,2011,105,0,105,0,103
kelp greenling,2012,28,0,28,0,27
kelp greenling,2013,25,1,26,0,26
kelp greenling,2014,42,0,42,0,39
kelp greenling,2015,38,0,38,0,37
kelp greenling,2016,80,0,80,0,72
kelp greenling,2017,49,0,49,0,45
kelp greenling,2018,72,0,72,0,68
kelp greenling,2019,6,0,6,0,6
kelp rockfish,2016,4,1,5,0,5
lingcod,2003,1244,86,1330,875,17
lingcod,2004,1343,24,1367,827,25
lingcod,2005,1067,30,1097,840,24
lingcod,2006,1011,1,1012,697,14
lingcod,2007,631,14,645,483,69
lingcod,2008,883,277,1160,838,19
lingcod,2009,933,174,1107,484,483
lingcod,2010,1623,307,1930,518,516
lingcod,2011,1768,85,1853,519,526
lingcod,2012,1940,247,2187,410,418
lingcod,2013,1295,48,1343,365,262
lingcod,2014,2914,69,2924,478,438
lingcod,2015,1797,51,1838,437,323
lingcod,2016,1716,37,1753,366,359
lingcod,2017,1565,NA,1625,286,478
lingcod,2018,1537,17,1554,399,319
lingcod,2019,551,1,552,234,209
longnose skate,2003,2657,2,2655,0,0
longnose skate,2004,2598,1,2599,0,0
longnose skate,2005,3259,2,3259,0,0
longnose skate,2006,3304,3,0,0,0
longnose skate,2007,3834,9,861,0,0
longnose skate,2008,3383,0,3383,0,0
longnose skate,2009,3113,3,3116,0,0
longnose skate,2010,3462,0,3462,0,0
longnose skate,2011,2987,4,2991,321,104
longnose skate,2012,3647,3,3650,328,40
longnose skate,2013,2491,1,2492,0,0
longnose skate,2014,3722,0,3722,0,0
longnose skate,2015,4053,14,4067,0,0
longnose skate,2016,4003,1,4004,0,420
longnose skate,2017,3679,0,3679,0,442
longnose skate,2018,3610,0,3610,0,421
longnose skate,2019,1669,NA,1655,0,220
longspine thornyhead,2003,0,15475,15475,0,955
longspine thornyhead,2004,2790,NA,11173,0,742
longspine thornyhead,2005,9044,4486,13530,0,1103
longspine thornyhead,2006,6407,2674,9081,0,930
longspine thornyhead,2007,4567,1631,6198,0,958
longspine thornyhead,2008,2775,NA,3635,0,989
longspine thornyhead,2009,2333,777,3110,0,956
longspine thornyhead,2010,2297,785,3082,0,1032
longspine thornyhead,2011,4074,NA,5188,0,1002
longspine thornyhead,2012,3572,1388,4960,0,980
longspine thornyhead,2013,2643,642,3285,0,621
longspine thornyhead,2014,3938,947,4885,0,922
longspine thornyhead,2015,4051,771,4822,0,919
longspine thornyhead,2016,3837,1026,4863,0,529
longspine thornyhead,2017,3912,728,4640,0,478
longspine thornyhead,2018,3841,1039,4880,0,495
longspine thornyhead,2019,1664,298,1962,0,221
olive rockfish,2004,1,0,1,0,1
olive rockfish,2016,1,0,1,0,1
Pacific cod,2003,783,0,783,0,0
Pacific cod,2004,290,0,290,0,0
Pacific cod,2005,199,0,199,0,0
Pacific cod,2006,166,0,166,0,0
Pacific cod,2007,177,0,177,0,0
Pacific cod,2008,72,0,72,0,0
Pacific cod,2009,123,0,123,0,0
Pacific cod,2010,404,0,404,0,221
Pacific cod,2011,294,7,301,0,150
Pacific cod,2012,154,0,154,0,89
Pacific cod,2013,173,2,175,0,33
Pacific cod,2014,240,0,240,0,185
Pacific cod,2015,328,0,328,0,270
Pacific cod,2016,231,0,231,0,148
Pacific cod,2017,93,0,93,0,92
Pacific cod,2018,45,0,45,0,45
Pacific cod,2019,69,0,69,0,33
Pacific ocean perch,2003,1425,1,1426,432,2
Pacific ocean perch,2004,565,0,565,219,0
Pacific ocean perch,2005,525,1,526,257,0
Pacific ocean perch,2006,659,0,659,254,1
Pacific ocean perch,2007,627,1,628,439,0
Pacific ocean perch,2008,505,34,539,328,0
Pacific ocean perch,2009,435,36,471,331,2
Pacific ocean perch,2010,903,4,907,579,0
Pacific ocean perch,2011,849,72,921,674,3
Pacific ocean perch,2012,1166,9,1175,0,699
Pacific ocean perch,2013,730,2,732,199,354
Pacific ocean perch,2014,902,89,991,626,0
Pacific ocean perch,2015,1143,22,1165,840,5
Pacific ocean perch,2016,1150,0,1150,703,67
Pacific ocean perch,2017,968,8,976,0,778
Pacific ocean perch,2018,642,6,648,0,537
Pacific ocean perch,2019,345,0,345,0,291
Pacific sanddab,2003,8853,74,8927,787,8
Pacific sanddab,2004,10755,0,10755,1419,8
Pacific sanddab,2005,10126,0,10126,993,14
Pacific sanddab,2006,5902,2,5904,704,15
Pacific sanddab,2007,4293,26,4319,725,10
Pacific sanddab,2008,4527,9,4536,768,6
Pacific sanddab,2009,2815,6,2821,0,813
Pacific sanddab,2010,1501,11,1512,1018,133
Pacific sanddab,2011,4486,90,4576,752,96
Pacific sanddab,2012,4536,78,4614,820,106
Pacific sanddab,2013,3275,52,3327,0,618
Pacific sanddab,2014,4992,47,5039,0,929
Pacific sanddab,2015,4997,34,5026,0,926
Pacific sanddab,2016,4565,6,4571,0,463
Pacific sanddab,2017,3057,6,3063,0,466
Pacific sanddab,2018,2590,7,2597,0,436
Pacific sanddab,2019,1230,5,1235,0,215
Pacific spiny dogfish,2003,3789,2,3789,0,673
Pacific spiny dogfish,2004,2482,1,2481,0,540
Pacific spiny dogfish,2005,3565,1,3566,0,864
Pacific spiny dogfish,2006,3882,18,3900,0,786
Pacific spiny dogfish,2007,2419,2,2421,0,749
Pacific spiny dogfish,2008,2847,27,2874,0,887
Pacific spiny dogfish,2009,1658,3,1661,0,632
Pacific spiny dogfish,2010,1723,4,1727,591,440
Pacific spiny dogfish,2011,1635,2,1637,0,639
Pacific spiny dogfish,2012,1507,2,1509,0,563
Pacific spiny dogfish,2013,616,0,613,0,287
Pacific spiny dogfish,2014,1496,2,1476,0,470
Pacific spiny dogfish,2015,669,1,670,0,350
Pacific spiny dogfish,2016,771,0,771,0,291
Pacific spiny dogfish,2017,532,0,532,0,223
Pacific spiny dogfish,2018,774,0,774,0,330
Pacific spiny dogfish,2019,489,0,489,0,187
petrale sole,2003,2833,4,2837,765,835
petrale sole,2004,3345,1,3346,723,1133
petrale sole,2005,4539,16,4555,752,1093
petrale sole,2006,3664,4,3668,774,201
petrale sole,2007,3403,6,3409,690,289
petrale sole,2008,3042,5,3047,746,279
petrale sole,2009,3385,2,3387,777,283
petrale sole,2010,6049,3,6052,801,593
petrale sole,2011,6172,4,6176,799,561
petrale sole,2012,5366,6,5372,777,510
petrale sole,2013,3440,5,3445,843,1
petrale sole,2014,4805,17,4822,766,472
petrale sole,2015,4253,4,4236,751,406
petrale sole,2016,4383,2,4385,893,23
petrale sole,2017,4260,1,4261,884,4
petrale sole,2018,3782,1,3783,810,6
petrale sole,2019,1795,2,1797,0,624
quillback rockfish,2003,3,0,3,0,0
quillback rockfish,2005,2,0,2,2,0
quillback rockfish,2006,3,0,3,3,0
quillback rockfish,2007,20,0,20,16,0
quillback rockfish,2008,37,0,37,22,0
quillback rockfish,2009,3,0,3,3,0
quillback rockfish,2010,2,0,2,2,0
quillback rockfish,2011,6,0,6,6,0
quillback rockfish,2012,46,0,46,26,0
quillback rockfish,2013,1,1,2,1,0
quillback rockfish,2014,25,0,25,24,1
quillback rockfish,2015,7,1,8,8,0
quillback rockfish,2016,9,0,9,9,0
quillback rockfish,2017,15,1,16,16,0
quillback rockfish,2018,21,0,21,21,0
quillback rockfish,2019,16,0,16,16,0
redbanded rockfish,2003,272,0,272,0,179
redbanded rockfish,2004,156,2,158,0,144
redbanded rockfish,2005,168,3,171,0,171
redbanded rockfish,2006,145,7,152,0,145
redbanded rockfish,2007,166,12,178,0,178
redbanded rockfish,2008,142,4,146,0,146
redbanded rockfish,2009,135,7,142,0,142
redbanded rockfish,2010,166,1,167,0,167
redbanded rockfish,2011,208,3,211,0,203
redbanded rockfish,2012,143,6,149,0,149
redbanded rockfish,2013,180,9,189,0,189
redbanded rockfish,2014,219,4,223,0,203
redbanded rockfish,2015,187,2,189,0,189
redbanded rockfish,2016,111,3,114,0,114
redbanded rockfish,2017,262,8,270,0,268
redbanded rockfish,2018,266,7,273,0,236
redbanded rockfish,2019,114,2,116,0,109
rex sole,2003,10843,0,10843,0,0
rex sole,2004,13884,48,13932,0,0
rex sole,2005,15980,27,16007,0,0
rex sole,2006,11580,0,11580,0,0
rex sole,2007,9608,13,9621,0,801
rex sole,2008,7166,61,7227,0,763
rex sole,2009,4088,26,4114,0,780
rex sole,2010,2611,47,2658,0,885
rex sole,2011,6921,67,6988,0,838
rex sole,2012,7399,27,7426,0,850
rex sole,2013,5720,9,5729,0,600
rex sole,2014,8688,15,8682,0,852
rex sole,2015,8535,17,8517,0,818
rex sole,2016,8643,24,8667,0,841
rex sole,2017,5203,28,5231,0,829
rex sole,2018,4822,9,4831,0,850
rex sole,2019,2423,1,2424,0,415
rougheye and blackspotted rockfish,2003,112,0,112,56,0
rougheye and blackspotted rockfish,2004,113,2,115,78,0
rougheye and blackspotted rockfish,2005,259,0,259,139,1
rougheye and blackspotted rockfish,2006,101,1,102,94,6
rougheye and blackspotted rockfish,2007,107,1,108,107,0
rougheye and blackspotted rockfish,2008,120,2,122,121,1
