"name","state","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"Quillback rockfish","C",9,48,50,0,2
"Quillback rockfish","O",140,2,142,7,54
"Quillback rockfish","W",9,0,9,2,0
"Redbanded rockfish","C",164,85,238,0,78
"Redbanded rockfish","O",566,1,568,14,535
"Redbanded rockfish","W",602,23,625,0,0
"Rex sole","C",1291,43,1334,0,58
"Rex sole","O",1093,1,1094,0,898
"Rex sole","W",62,5,66,0,0
"Rock sole","C",26,27,53,0,5
"Rock sole","O",36,0,36,0,35
"Rock sole","W",0,0,0,0,0
"Rosethorn rockfish","C",4,9,10,0,3
"Rosethorn rockfish","O",95,0,96,0,94
"Rosethorn rockfish","W",62,1,63,0,0
"Rosy rockfish","C",0,14,14,0,0
"Rosy rockfish","O",2,0,2,0,0
"Rosy rockfish","W",0,0,0,0,0
"Rougheye/Blackspotted rockfish","C",41,10,50,0,19
"Rougheye/Blackspotted rockfish","O",808,0,808,36,730
"Rougheye/Blackspotted rockfish","W",1266,72,1338,88,0
"Sablefish","C",1202,3197,4393,355,0
"Sablefish","O",3526,20,3546,630,2780
"Sablefish","W",515,2309,2823,168,47
"Sand sole","C",118,109,220,0,2
"Sand sole","O",174,2,176,0,164
"Sand sole","W",0,0,0,0,0
"Sharpchin rockfish","C",7,2,7,0,2
"Sharpchin rockfish","O",90,0,90,0,87
"Sharpchin rockfish","W",92,4,96,0,0
"Shortraker rockfish","C",2,1,3,0,1
"Shortraker rockfish","O",142,0,142,1,140
"Shortraker rockfish","W",120,6,126,0,0
"Shortspine thornyhead","C",800,2329,3009,0,0
"Shortspine thornyhead","O",1585,24,1609,0,1240
"Shortspine thornyhead","W",560,321,881,0,0
"Silvergray rockfish","C",0,0,1,0,0
"Silvergray rockfish","O",106,0,106,0,103
"Silvergray rockfish","W",54,1,55,0,0
"Speckled rockfish","C",0,17,18,0,0
"Speckled rockfish","O",0,0,0,0,0
"Speckled rockfish","W",0,0,0,0,0
"Splitnose rockfish","C",449,493,809,0,155
"Splitnose rockfish","O",550,0,550,0,538
"Splitnose rockfish","W",131,6,137,0,0
"Squarespot rockfish","C",0,6,6,0,0
"Squarespot rockfish","O",0,0,0,0,0
"Squarespot rockfish","W",0,0,0,0,0
"Starry flounder","C",61,139,196,0,4
"Starry flounder","O",145,1,146,0,138
"Starry flounder","W",0,0,0,0,0
"Starry rockfish","C",0,30,30,0,0
"Starry rockfish","O",0,0,0,0,0
"Starry rockfish","W",0,0,0,0,0
"Treefish","C",0,46,37,0,0
"Treefish","O",0,0,0,0,0
"Treefish","W",0,0,0,0,0
"Vermilion/Sunset rockfish","C",21,329,330,0,25
"Vermilion/Sunset rockfish","O",113,0,113,56,44
"Vermilion/Sunset rockfish","W",0,0,0,0,0
"Widow rockfish","C",257,97,351,66,135
"Widow rockfish","O",1281,2,1283,460,700
"Widow rockfish","W",684,123,806,414,79
"Yelloweye rockfish","C",3,7,10,0,1
"Yelloweye rockfish","O",43,0,43,22,10
"Yelloweye rockfish","W",73,27,100,82,0
"Yellowmouth rockfish","C",1,1,1,0,0
"Yellowmouth rockfish","O",109,0,109,0,108
"Yellowmouth rockfish","W",21,0,21,0,0
"Yellowtail rockfish","C",115,85,197,38,69
"Yellowtail rockfish","O",1796,6,1802,1159,302
"Yellowtail rockfish","W",1460,255,1714,1268,0
